"PassengerId","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported","Cabin_deck","Cabin_num","Cabin_side"
"0038_01","Earth","False","55 Cancri e",20,"False",554,195,0,2606,0,"Loise Wheelez","False","F",10,"S"
"0039_01","Earth","True","55 Cancri e",30,"False",0,0,0,0,0,"Jorgie Batthewitt","False","G",1,"P"
"0041_01","Earth","True","TRAPPIST-1e",17,"False",0,0,0,0,0,"Margia Moodsey","True","G",2,"P"
"0043_01","Europa","False","TRAPPIST-1e",45,"False",0,164,45,2511,855,"Ankalik Cylistrand","False","B",3,"P"
"0044_01","Earth","True","TRAPPIST-1e",55,"False",0,0,0,0,0,"Jodye Coopelandez","False","G",3,"P"
"0044_02","Earth","True","55 Cancri e",4,"False",0,0,0,0,0,"Kayne Coopelandez","True","G",3,"P"
"0044_03","Earth","True","PSO J318.5-22",21,"False",0,0,0,0,0,"Cassa Coopelandez","True","G",3,"P"
"0045_01","Mars","False","TRAPPIST-1e",21,"False",970,0,180,0,64,"Zelowl Chmad","False","F",10,"P"
"0045_02","Mars","True",NA,19,"False",0,0,0,0,0,"Mass Chmad","True","F",10,"P"
"0050_01","Earth","False","55 Cancri e",35,"False",790,0,0,NA,0,"Sony Lancis","False","E",1,"S"
"0051_01","Earth","False","TRAPPIST-1e",56,"False",0,112,0,1379,127,"Vivia Johnshines","False","E",2,"S"
"0052_01","Earth","False","TRAPPIST-1e",NA,"False",4,0,2,4683,0,"Elaney Hubbarton","False","G",6,"S"
"0053_01","Earth","False","TRAPPIST-1e",25,"False",0,0,1938,0,1,"Elson Hickerson","True","F",11,"S"
"0056_01","Europa","False","TRAPPIST-1e",2,"False",0,0,0,0,0,"Okulas Tractive","True","A",1,"S"
"0056_02","Europa","True","TRAPPIST-1e",38,"False",0,0,0,0,0,"Instab Tractive","True","A",1,"S"
"0056_03","Europa","False","TRAPPIST-1e",27,"False",279,605,3374,286,3,"Zinoces Tractive","True","A",1,"S"
"0058_01","Earth","True","PSO J318.5-22",36,"False",0,0,0,0,0,"Warry Ayalazquez","False","G",7,"S"
"0061_01","Earth","False","TRAPPIST-1e",22,"False",45,1096,148,1377,1,"Shanya Salez","False","F",12,"S"
"0062_01","Earth","False","TRAPPIST-1e",62,"False",0,592,0,17,25,"Sterry Greeves","False","F",13,"S"
"0064_01","Mars","True","TRAPPIST-1e",15,"False",0,0,0,0,0,"","True","F",14,"S"
"0064_02",NA,"True","TRAPPIST-1e",33,"False",0,0,0,0,0,"Colatz Keen","True","E",3,"S"
"0066_01","Earth","False","TRAPPIST-1e",62,"False",1,153,197,0,460,"Diandy Pecketton","False","G",6,"P"
"0067_01","Earth","True","PSO J318.5-22",0,"False",0,0,0,0,0,"Ninaha Leeves","True","G",10,"S"
"0067_02","Earth","False","TRAPPIST-1e",18,"False",1,258,446,0,0,"Celine Leeves","True","G",10,"S"
"0067_03","Earth","False","55 Cancri e",21,"False",1946,37,0,0,24,"Velyne Leeves","False","F",15,"S"
"0068_01","Mars","False","TRAPPIST-1e",NA,"False",793,0,2,253,0,"Cinst Binie","False","E",4,"S"
"0069_01","Earth","False","TRAPPIST-1e",42,"False",887,0,9,6,0,"","True","F",16,"S"
"0070_01","Earth","False","TRAPPIST-1e",19,"False",190,0,5,1,726,"Meremy Brighttt","False","F",13,"P"
"0071_01","Earth","False","TRAPPIST-1e",17,"False",16,2165,0,0,52,"Nelly Dillines","False","F",14,"P"
"0072_01","Earth","False","TRAPPIST-1e",14,"False",0,1,0,0,1063,"Thell Brantuarez","False","F",17,"S"
"0073_01","Mars","False","PSO J318.5-22",37,"False",46,83,738,0,12,"Gorn Make","False","D",3,"P"
"0074_01","Europa","False","TRAPPIST-1e",42,"False",1,8397,0,0,506,"Aldibah Mostedry","True","C",3,"S"
"0076_01","Mars","False","TRAPPIST-1e",27,"False",147,0,1018,0,0,"Conk Dal","True","F",18,"S"
"0077_01","Mars","False","TRAPPIST-1e",28,"False",14,0,1295,0,0,"Pon Blité","True","F",15,"P"
"0078_01","Europa","False","TRAPPIST-1e",38,"False",0,5840,0,321,9654,"Spuri Pokerheed","False","C",4,"S"
"0081_01","Earth","True","TRAPPIST-1e",13,"False",0,0,0,0,0,"Dellie Vinozarks","False","G",13,"S"
"0082_01","Mars","False","TRAPPIST-1e",42,"False",7406,0,0,0,0,"Totse Datte","False","F",16,"P"
"0082_02","Mars","True","TRAPPIST-1e",2,"False",0,0,0,0,0,"Eaturs Datte","True","F",16,"P"
"0082_03","Mars","False","TRAPPIST-1e",8,"False",0,0,0,0,0,"","True","F",16,"P"
"0084_01","Earth","False","TRAPPIST-1e",24,"False",688,0,0,0,17,"Coren Coopezmaney","True","G",14,"S"
"0085_01","Europa","True","TRAPPIST-1e",40,"False",0,0,0,0,0,"Furudah Ellcefulve","True","C",5,"S"
"0086_01","Earth","False","TRAPPIST-1e",43,"False",211,0,0,638,513,"Jodye Kinson","False","F",17,"P"
"0088_01","Mars","True","PSO J318.5-22",45,"False",0,0,0,0,0,"Stmeal Sacre","True","E",5,"S"
"0090_01","Earth","True","TRAPPIST-1e",35,"False",0,0,0,0,0,"Heremy Santry","True","G",15,"S"
"0091_01","Earth","True","TRAPPIST-1e",26,"False",0,0,0,0,0,"Deanne Yorkland","True","G",16,"S"
"0091_02","Earth","False","TRAPPIST-1e",27,"False",1,697,31,188,0,"Tinez Yorkland","False","F",20,"S"
"0092_01","Earth","False","TRAPPIST-1e",19,"False",0,0,670,1,34,"Gracy Dunnisey","False","G",9,"P"
"0092_02","Earth","True","TRAPPIST-1e",0,"False",0,0,0,0,0,"Stald Hewson","True","G",9,"P"
"0092_03","Earth","True","TRAPPIST-1e",3,"False",0,0,0,0,0,"Tiney Hewson","True","G",9,"P"
"0097_01","Europa","False","TRAPPIST-1e",54,"False",0,1208,0,3,637,"Alchium Fictful","False","A",2,"S"
"0098_01","Earth","False","TRAPPIST-1e",26,"False",0,856,5,32,0,"Doria Carezquez","False","G",11,"P"
"0098_02","Earth","False","TRAPPIST-1e",26,"False",0,2811,957,0,87,"Leence Carezquez","True","G",11,"P"
"0099_01","Earth","False","PSO J318.5-22",23,"False",311,427,526,37,0,"Aliey Leetersoney","False","F",19,"P"
"0099_02","Earth",NA,"TRAPPIST-1e",2,"False",0,0,0,0,0,"Thewis Connelson","True","G",12,"P"
"0101_01","Mars","True","TRAPPIST-1e",31,"False",0,0,0,0,0,"Book Trad","True",NA,NA,NA
"0102_01","Earth","False","TRAPPIST-1e",18,"False",0,0,0,830,91,"Ritany Holson","False","F",23,"S"
"0103_01","Earth","False","TRAPPIST-1e",24,"False",0,NA,0,0,17,"Arlen Mclainez","True","F",24,"S"
"0103_02","Earth","True","55 Cancri e",9,"False",0,0,0,0,0,"Shaele Mclainez","True","G",18,"S"
"0103_03","Earth","True","TRAPPIST-1e",6,"False",0,0,0,0,0,"Fanne Mclainez","False","G",18,"S"
"0105_01","Earth","False","TRAPPIST-1e",27,"False",0,0,570,2,131,"Carry Cleachrand","False","F",21,"P"
"0107_01","Mars","False","TRAPPIST-1e",21,"False",1743,5,17,0,0,"Coobix Hart","False","D",2,"S"
"0108_01","Earth","True","TRAPPIST-1e",23,"False",0,0,0,0,0,"Natald Handertiz","False","G",19,"S"
"0108_02","Earth","False","TRAPPIST-1e",31,"False",562,0,326,0,0,"","False","G",19,"S"
"0108_03","Earth","False","TRAPPIST-1e",0,NA,0,0,0,0,0,"Oline Handertiz","True","G",19,"S"
"0110_01","Europa","False","TRAPPIST-1e",32,"False",0,410,6,3929,764,"Graviph Aloubtled","False",NA,NA,NA
"0110_02","Europa","False","TRAPPIST-1e",40,"False",0,331,0,0,1687,"Aldeba Bootious","False","B",5,"P"
"0110_03","Europa","False","TRAPPIST-1e",42,"False",2209,11418,0,1868,445,"Alaratz Aloubtled","True","B",5,"P"
"0110_04","Europa","True","TRAPPIST-1e",28,"False",0,0,0,0,0,"Izark Aloubtled","True","B",5,"P"
"0111_01","Europa","True","TRAPPIST-1e",29,"False",0,0,0,0,0,"Aldera Supred","True","E",6,"S"
"0112_01","Europa","False","55 Cancri e",48,"True",0,2537,87,17,13,"Moth Cowtale","True","B",1,"S"
"0113_01","Earth","False","TRAPPIST-1e",64,"False",0,0,804,0,0,"Idary Carvis","True","F",23,"P"
"0114_01","Earth","False","TRAPPIST-1e",27,"False",82,157,429,238,1,"Maura Beckerson","False","G",20,"S"
"0115_01","Mars",NA,"TRAPPIST-1e",26,"False",0,0,0,0,NA,"Rohs Pead","True","F",24,"P"
"0116_01","Europa","False","TRAPPIST-1e",33,"False",1,2223,0,12,404,"Alhenah Suptive","True","D",4,"P"
"0119_01",NA,"False","TRAPPIST-1e",39,"False",0,2344,0,65,6898,"Batan Coning","False","A",0,"P"
"0119_02","Europa","True","TRAPPIST-1e",13,"False",0,0,0,0,0,"Kleeiak Coning","True","A",0,"P"
"0120_01","Mars","True","TRAPPIST-1e",24,"False",0,0,0,0,0,"Bees Sacre","True","F",25,"P"
"0122_01","Earth","False","TRAPPIST-1e",29,"False",0,0,0,699,74,"Shelle Hayder","False","G",21,"S"
"0123_01","Earth","False","TRAPPIST-1e",18,"False",55,597,49,0,1,"Iree Fielson","False","F",27,"P"
"0126_01","Mars","True","TRAPPIST-1e",67,"False",0,0,0,0,0,"Milly Mish","True","F",27,"S"
"0127_01","Mars","False","TRAPPIST-1e",35,"False",701,0,296,0,25,"Miloss Mesty","False","E",7,"S"
"0128_01","Mars","False","TRAPPIST-1e",61,"True",2353,334,9,316,2,"Grohs Fles","False","D",3,"S"
"0128_02","Mars","False","TRAPPIST-1e",45,"False",2103,6,0,0,0,"Barave Fles","False","E",8,"S"
"0129_01","Earth","True","PSO J318.5-22",22,"False",0,0,0,0,0,"Race Fowles","True","G",22,"S"
"0133_01","Mars","True","TRAPPIST-1e",19,"False",0,0,0,0,0,"Flynx Blie","True","F",29,"S"
"0133_02","Mars","False","TRAPPIST-1e",36,"False",2738,0,0,0,0,"Egrasp Blie","False","D",5,"S"
"0134_01","Earth","False","TRAPPIST-1e",19,"False",0,14,730,0,0,"Camina Harmontry","True","G",17,"P"
"0136_01","Earth","False","PSO J318.5-22",47,"False",97,418,126,25,55,"","False","G",23,"S"
"0138_01","Earth","True","TRAPPIST-1e",13,"False",0,0,0,0,0,"Fayene Gambs","True","G",18,"P"
"0138_02","Earth","False",NA,34,"False",0,22,0,564,207,"Monah Gambs","False","E",5,"P"
"0139_01","Europa","True","55 Cancri e",35,"False",0,0,0,0,0,"Charda Myling","True","C",6,"S"
"0140_01","Earth","True","TRAPPIST-1e",24,"False",0,0,0,0,0,"Evaley Mejiaddox","True","G",19,"P"
"0140_02","Earth","False","TRAPPIST-1e",26,"False",440,0,0,0,462,"Verney Whitakers","False","F",29,"P"
"0141_01","Mars","False","TRAPPIST-1e",31,"False",NA,0,97,0,0,"Pyrohs Harte","False","F",30,"P"
"0144_01","Earth","False","TRAPPIST-1e",20,"False",0,420,210,0,0,"Guadae Dayers","True","F",31,"S"
"0146_01","Earth","False","TRAPPIST-1e",56,"False",0,0,0,0,0,"Verly Wolferguson","False","G",25,"S"
"0147_01","Earth","True","TRAPPIST-1e",50,"False",0,0,0,0,0,"Samie Hubbarrison","True","G",26,"S"
"0148_01","Mars","False","TRAPPIST-1e",42,"False",1072,0,10,0,76,"Corsh Pashe","False","F",31,"P"
"0149_01","Earth","True","55 Cancri e",NA,"False",0,0,0,0,0,"Billya Hubbarrison","True","G",27,"S"
"0151_01","Earth","True","55 Cancri e",38,"False",0,0,0,0,0,"Shanie Simson","False","G",20,"P"
"0152_01","Earth","False",NA,41,"False",0,0,0,0,607,"Andan Estron","False","F",32,"P"
"0160_01","Earth","False","TRAPPIST-1e",22,"False",4119,0,0,0,61,"Gory Atkinney","False","G",22,"P"
"0163_01","Europa","True","TRAPPIST-1e",26,"False",0,0,0,0,0,"Kabiton Hetforhaft","True","B",8,"P"
"0163_02","Europa","True","TRAPPIST-1e",17,"False",0,0,0,0,0,"Scharab Hetforhaft","True","B",8,"P"
"0164_01","Earth","False","TRAPPIST-1e",57,"False",50,1688,0,NA,135,"Fany Hutchinton","True","G",28,"S"
"0164_02","Earth","True","PSO J318.5-22",17,"False",0,0,0,0,0,"Ianya Hutchinton","False","G",28,"S"
"0165_01","Mars","True","TRAPPIST-1e",35,NA,0,0,0,0,0,"Graven Anche","True","F",37,"P"
"0167_01","Mars","True","TRAPPIST-1e",13,"False",0,0,0,0,0,"Miten Floaf","True","F",35,"S"
"0167_02","Mars","False","TRAPPIST-1e",27,"False",1365,0,48,22,137,"Rios Floaf","False","F",35,"S"
"0169_01","Earth","True","TRAPPIST-1e",31,"False",0,0,0,0,0,"Wandy Fisherry","False","G",23,"P"
"0170_01","Earth","False","TRAPPIST-1e",24,"False",0,0,0,221,567,"Mollie Mcmahoney","False","E",10,"S"
"0171_01","Earth","True","PSO J318.5-22",19,"False",0,0,0,0,0,"Coracy Gordanieves","True","G",30,"S"
"0172_01","Earth","True","TRAPPIST-1e",32,"False",0,0,0,0,0,"Hanna Johnshines","True","G",24,"P"
"0173_01","Earth","False","TRAPPIST-1e",58,"False",0,985,0,5,0,"Hilip Grifford","True","E",11,"S"
"0174_01","Earth","False","55 Cancri e",21,"False",287,0,16,115,175,"Doryn Lambles","False","F",38,"P"
"0177_01","Europa","False","TRAPPIST-1e",38,"False",0,10346,1,14970,2111,"Toperon Iniouser","False","B",2,"S"
"0178_01","Mars","False","TRAPPIST-1e",38,"False",3414,0,161,28,119,"Wees Knik","False","D",6,"S"
"0179_01","Earth","False","TRAPPIST-1e",19,"False",1,219,673,2,11,"Elaney Webstephrey","True","G",26,"P"
"0179_02","Earth","False","TRAPPIST-1e",0,"False",0,0,0,0,0,"Raque Webstephrey","False","G",26,"P"
"0179_03","Earth","False","TRAPPIST-1e",3,"False",0,0,0,0,0,"Sallyl Webstephrey","True","G",26,"P"
"0181_01","Earth","False","TRAPPIST-1e",20,"False",0,0,3,299,92,"Nancis Brighttt","False","G",27,"P"
"0182_01","Europa","True","TRAPPIST-1e",24,"False",0,0,0,0,0,"Ksorab Disight","True","C",3,"P"
"0183_01","Earth","False","TRAPPIST-1e",37,"False",17,146,426,0,232,"Stany Weaves","True","F",36,"S"
"0186_01","Earth","False","TRAPPIST-1e",25,"False",62,0,0,0,956,"Camiet Shephendry","False","G",28,"P"
"0188_01","Earth","True","TRAPPIST-1e",56,"False",0,0,0,0,0,"Branda Romez","True","G",31,"S"
"0189_01","Earth","False","55 Cancri e",49,"False",84,3,401,202,98,"Helly Booters","False","E",8,"P"
"0190_01","Earth","True","55 Cancri e",11,"False",0,0,0,0,0,"","False","G",32,"S"
"0192_01","Earth","True","TRAPPIST-1e",1,"False",0,0,0,0,0,"Tance Adavisons","True","G",29,"P"
"0192_02","Earth","False","TRAPPIST-1e",8,"False",0,0,0,0,0,"Robyny Adavisons","False","G",29,"P"
"0192_03","Earth","False","TRAPPIST-1e",39,"False",0,0,10,898,0,"Lilace Adavisons","False","G",29,"P"
"0193_01","Mars","True","TRAPPIST-1e",2,"False",0,0,0,0,0,"Sps Raf","True","F",41,"P"
"0193_02","Mars","False","TRAPPIST-1e",23,"False",NA,0,8,1072,0,"Frook Raf","False","F",41,"P"
"0193_03","Mars","False","TRAPPIST-1e",0,"False",0,0,0,0,0,"Goles Raf","True","F",41,"P"
"0195_01","Mars","False","TRAPPIST-1e",39,"False",406,0,867,0,0,"Bar Floaf","True","F",42,"P"
"0196_01","Mars","False","PSO J318.5-22",25,"False",1052,0,719,0,7,"Caper Emead","False","D",5,"P"
"0197_01","Europa","False","TRAPPIST-1e",36,"False",0,972,0,795,575,"Astrak Dissper","False","C",5,"P"
"0198_01","Earth",NA,"PSO J318.5-22",52,"False",0,0,0,0,0,"Jeroy Cookson","True","G",30,"P"
"0199_01","Earth","True","TRAPPIST-1e",18,"False",0,0,0,0,0,"Regana Morrows","False","G",33,"S"
"0200_01","Earth","True","TRAPPIST-1e",15,"False",0,0,0,0,0,"Elia Colomonson","True","G",31,"P"
"0201_01","Europa","True","TRAPPIST-1e",35,"False",0,0,0,0,0,"Kaffias Bacistion","True","B",3,"S"
"0201_02","Europa","True","TRAPPIST-1e",47,"False",0,0,0,0,0,"Edaruma Bacistion","True","B",3,"S"
"0202_01","Europa","True","55 Cancri e",45,"False",0,0,0,0,0,"Pomera Embleng","True","B",9,"P"
"0202_02","Europa","False","55 Cancri e",NA,"False",0,2433,NA,878,443,"Vegas Embleng","True","A",2,"P"
"0203_01","Europa","True","TRAPPIST-1e",51,"False",0,0,0,0,0,"Ancham Heateele","True","C",8,"S"
"0205_01","Earth","False","TRAPPIST-1e",29,"False",0,2,66,0,705,"Carma Oneiles","False","G",34,"S"
"0206_01","Europa","False","55 Cancri e",NA,"False",2,1720,12,1125,122,"Nuson Brugashed","True","C",9,"S"
"0207_01","Earth","True","PSO J318.5-22",19,"False",0,0,0,0,0,"Thony Mcfaddennon","False","G",32,"P"
"0210_01",NA,"True","55 Cancri e",24,"False",0,0,0,0,0,"Arraid Inicont","True","D",6,"P"
"0211_01","Mars","False","TRAPPIST-1e",29,"False",902,1,137,0,0,"Pebuts Appie","True","F",44,"P"
"0211_02","Mars","True","TRAPPIST-1e",11,"False",0,0,0,0,0,"Corsh Appie","True","F",44,"P"
"0211_03","Mars","False","TRAPPIST-1e",17,"False",848,0,307,182,0,"Picers Date","False","F",44,"P"
"0212_01","Earth","False","TRAPPIST-1e",13,"False",192,0,0,51,739,"Inen Workmans","False","E",9,"P"
"0212_02","Earth","False","TRAPPIST-1e",35,"False",147,188,0,10,387,"Shally Workmans","False","F",45,"P"
"0213_01","Earth","False","TRAPPIST-1e",21,"False",367,281,0,0,146,"Carita Navages","False","F",46,"P"
"0216_01","Earth","False","55 Cancri e",21,"False",0,56,0,0,1918,"Searla Garnes","False","F",40,"S"
"0217_01","Earth","False","TRAPPIST-1e",38,"False",1517,0,0,27,0,"Prilly Shieldson","False","F",47,"P"
"0219_01","Earth","True","TRAPPIST-1e",19,"False",0,0,0,0,0,"Nica River","True","G",36,"P"
"0220_01","Earth","True","TRAPPIST-1e",2,"False",0,0,0,0,0,"Tyle Wilsoney","True","G",37,"P"
"0220_02","Earth","False","TRAPPIST-1e",0,"False",0,0,0,0,0,"Wena Wilsoney","True","G",37,"P"
"0220_03","Earth","True","TRAPPIST-1e",13,"False",0,0,0,0,0,"Branca Wilsoney","False","G",37,"P"
"0220_04","Earth","False","TRAPPIST-1e",25,"False",122,84,NA,0,0,"Dont Wilsoney","False","E",10,"P"
"0220_05","Earth","False","TRAPPIST-1e",16,"False",0,3,0,0,1099,"Velyne Wilsoney","False","F",48,"P"
"0220_06","Earth","False","55 Cancri e",1,"False",0,0,0,0,0,"Weney Wilsoney","False","G",37,"P"
"0220_07","Earth","True","TRAPPIST-1e",15,"False",0,0,0,0,0,"Guye Wilsoney","True","G",37,"P"
"0221_01","Mars","False","55 Cancri e",21,"False",2237,0,119,0,0,"Cowhex Blan","False","E",13,"S"
"0221_02","Mars","False","TRAPPIST-1e",23,"False",1215,80,1,2,0,"Yogark Reke","False","E",13,"S"
"0221_03","Mars","False","TRAPPIST-1e",33,"False",1933,12,188,1,0,"Jacks Reke","False","E",13,"S"
"0221_04","Mars","True","TRAPPIST-1e",21,"False",0,0,0,0,0,"Eerch Reke","True","E",13,"S"
"0221_05","Mars","False","TRAPPIST-1e",41,"False",1230,0,301,43,1023,"Panbug Reke","False","E",13,"S"
"0221_06","Mars","False","TRAPPIST-1e",16,"False",915,0,221,234,0,"Gran Reke","False","E",13,"S"
"0221_07","Mars","True","TRAPPIST-1e",42,"False",0,0,0,0,0,"Rohs Reke","False","E",13,"S"
"0222_01","Mars","False","TRAPPIST-1e",20,"False",1406,0,0,11,0,"Gone Perte","False","F",41,"S"
"0222_02","Mars","True","TRAPPIST-1e",24,"False",0,0,0,0,0,"Colf Deva","True","F",41,"S"
"0222_03","Mars","True","TRAPPIST-1e",16,"False",0,0,0,0,0,"Grake Perte","True","E",14,"S"
"0223_01","Earth","False","TRAPPIST-1e",21,"False",0,2,665,0,9,"Evan Sykess","False","G",35,"S"
"0224_01","Mars","False","TRAPPIST-1e",32,"True",181,0,5,1634,0,"Blues Queen","False","F",42,"S"
"0225_01","Earth","True","PSO J318.5-22",58,"False",0,0,0,0,0,"Carly Hortis","True","G",38,"P"
"0229_01","Earth","False","TRAPPIST-1e",24,"False",4,7,0,713,79,"Done Sellahaney","False","F",43,"S"
"0231_01","Mars","False","TRAPPIST-1e",30,"False",85,0,1,1720,0,"Krus Nate","False","F",44,"S"
"0232_01","Earth","True","PSO J318.5-22",27,"False",0,0,0,0,0,"Nica Bakerrison","False","G",36,"S"
"0233_01","Mars","False","TRAPPIST-1e",32,"False",56,0,256,1438,0,"Teda Wist","False","F",45,"S"
"0234_01","Earth","False","TRAPPIST-1e",43,"False",NA,888,0,0,0,"Keitha Josey","False","F",50,"P"
"0237_01","Europa","True","TRAPPIST-1e",42,"False",0,0,0,0,0,"Weias Aginge","True","B",11,"P"
"0239_01","Mars","False","TRAPPIST-1e",37,"False",637,0,0,92,319,"Diedow Resty","False",NA,NA,NA
"0240_01","Mars","True","TRAPPIST-1e",35,"False",0,0,0,0,0,"Puffes Crie","True","F",52,"P"
"0241_01","Europa","False","55 Cancri e",33,"False",0,1249,0,4812,1116,"Alas Dischod","False","E",11,"P"
"0242_01",NA,"False","TRAPPIST-1e",18,"False",313,1,691,283,0,"Almone Sté","False","F",46,"S"
"0243_01","Earth","True","TRAPPIST-1e",21,"False",0,0,0,0,0,"Lilace Cartyernan","False","G",37,"S"
"0244_01","Mars","True","TRAPPIST-1e",43,"False",0,0,0,0,0,"Froos Sad","True",NA,NA,NA
"0244_02","Mars","True","55 Cancri e",14,NA,0,0,0,0,0,"Tous Sad","True","F",47,"S"
"0245_01","Europa","False","55 Cancri e",46,"False",0,3571,0,0,7,"Glueba Repumparte","True","C",6,"P"
"0245_02","Europa","False","TRAPPIST-1e",33,"False",0,86,796,584,10912,"Anchib Repumparte","False","C",6,"P"
"0246_01","Mars","False","TRAPPIST-1e",21,"False",2947,0,287,27,0,"Mele Sesa","False","D",8,"P"
"0248_01","Europa","False","TRAPPIST-1e",33,"False",0,1,0,8620,1063,"Genifi Spanxibus","False","C",10,"S"
"0250_01","Earth","True","PSO J318.5-22",47,"False",0,0,0,0,0,"Camily Kramosley","False","G",38,"S"
"0251_01",NA,"True","55 Cancri e",54,"False",0,0,0,0,0,"Diphah Amsive","True","C",11,"S"
"0252_01","Earth","False","TRAPPIST-1e",30,"False",335,695,541,0,0,"Leenny Byerry","False","F",53,"P"
"0253_01","Earth","False","TRAPPIST-1e",29,"False",272,615,0,0,1,"Dawne Cardner","False","G",42,"P"
"0254_01","Earth","False","TRAPPIST-1e",21,"False",702,172,408,2,6,"Race Stenson","True","F",54,"P"
"0255_01","Europa","True","TRAPPIST-1e",24,"False",0,0,0,0,0,"Ashir Mingious","True","A",3,"S"
